cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
21	76 G. Cet	00 45 41.70	-16 25 27.1	6.47	1.75	286	F0IV
21	101 G. Cet	01 01 38.60	-16 15 55.3	6.47	1.82	277	K2/K3III
21	293 G. Cet	02 43 28.90	-02 31 53.4	6.48	0.66	475	K0
21	63 G. Cet	00 40 28.56	-16 30 59.8	6.49	0.55	503	G8III
21	221 G. Cet	02 12 15.76	02 44 43.9	6.49	0.56	499	G5
21	28 G. Cet	00 16 42.35	-20 12 36.2	6.5	0.13	612	B6III/IV
21	43 Cet	01 22 34.82	-00 26 58.7	6.5	0.39	544	K0III:
21	142 G. Cet	01 25 52.33	-03 55 38.4	6.5	1.47	330	K0
21	234 G. Cet	02 19 40.76	-04 20 44.1	6.5	0.38	545	A3V
21	40 Cet	01 16 58.86	-02 16 43.7	6.52	4.16	97	F8
21	58 Cet	01 57 59.39	-02 03 34.2	6.52	0.63	491	A0
21	35 Cet	01 12 30.75	02 28 18.6	6.55	2.96	170	F8
21	15 Cet	00 38 04.57	-00 30 12.6	6.64	-0.11	731	K2III
21	χ Cet B	01 49 23.36	-10 42 12.8	6.74	4.91	74.94	G0
21	79 Cet	02 35 20.02	-03 33 34.3	6.83	4.05	117	G5IV
21	HD 7449	01 14 29	-05 02 51 	7.5	9999	127	F8V
21	HD 11506	01 52 50.53	-19 30 25.1	7.54	3.89	176	G0V
21	HD 5319	00 55 01.40	00 47 22.4	8.05	3.05	326	K0III
21	HD 12039	01 57 48.98	-21 54 05.3	8.11	4.98	138	G4V
21	HD 1666	00 20 52.0	-19 55 52	8.17	9999	361	F7V
21	HD 224693	23 59 53.83	-22 25 41.2	8.23	3.36	306	G2IV
21	HD 6718	01 07 48.66	-08 14 01.3	8.45	4.75	179	G0
21	58 Cet	01 57 56.14	-02 05 57.7	8.89	0.54	1523	A0
21	HD 1690	00 21 13	-08 16 32	9.17	9999	1040	K1III
21	HD 2638	00 29 59.87	-05 45 50.4	9.44	5.79	175	G5
21	BD-17°63	00 28 34.31	-16 13 34.8	9.63	6.87	116	K5V
21	HD 16031	02 34 11	-12 23 03	9.76	9999	362	F2V
21	HIP 5158	01 06 02.05	-22 27 11.4	10.21	6.95	146	K5
21	HIP 11915	02 33 49.025	-19 36 42.5032	8.58	4.81	185	G5V
21	WASP-71	01 57 03.0	00 45 32	10.57	9999	652	F8
21	WASP-77A	02 28 37.0	-07 03 38	11.29	9999	9999	G8V
21	WASP-26	00 18 24.70	-15 16 02.3	11.3	4.3	820	G0
21	WASP-75	01 31 18.2	-10 40 32	11.45	9999	848	F9
21	BD -16°251	01 29 30.31	-16 08 05.51	11.7	9999	13000	9999
21	HAT-P-46	00 32 07.1	-02 58 15	11.94	9999	965	9999
21	YZ Cet	01 12 30.64	-16 59 56.3	12.1	14.25	12.12	M4.5V
21	UV Cet	01 39 01.54	-17 57 01.8	12.54	15.4	8.73	M5.5Ve
21	HAT-P-45	00 33 09.9	-03 22 51	12.79	9999	995	9999
21	WASP-44	00 15 36.77	-11 56 17.3	12.9	9999	9999	G8V
21	BL Cet	01 39 01.54	-17 57 01.8	12.99	15.85	8.73	M6.0Ve
22	α Cha	08 18 31.27	-76 55 11.9	4.05	2.6	63	F5III
22	γ Cha	10 35 28.22	-78 36 28.1	4.11	-1.4	413	M0III
22	β Cha	12 18 20.94	-79 18 44.2	4.24	-0.36	271	B5Vn
22	θ Cha	08 20 38.89	-77 29 04.5	4.34	0.97	154	K0III-IV
22	δ2 Cha	10 45 47.14	-80 32 24.7	4.45	-0.79	363	B2.5IV
22	ε Cha	11 59 37.69	-78 13 18.5	4.88	-0.36	364	B9Vn
22	κ Cha	12 04 46.66	-76 31 09.0	5.04	-0.61	441	K4III
22	ζ Cha	09 33 53.51	-80 56 28.7	5.07	-1.02	539	B5V
22	ι Cha	09 24 09.73	-80 47 13.9	5.34	1.58	184	F3/F5IV
22	ν Cha	09 46 20.42	-76 46 33.5	5.43	1.59	191	G8III
22	η Cha	08 41 19.60	-78 57 48.3	5.46	0.53	316	B9IV
22	δ1 Cha	10 45 16.38	-80 28 10.3	5.46	0.28	354	K0III
22	μ1 Cha	10 00 43.90	-82 12 53.1	5.53	0.09	399	A0IV
22	π Cha	11 37 15.94	-75 53 47.5	5.64	2.52	137	F1III
22	HD 72922	08 24 20.38	-80 54 53.0	5.67	1.23	252	G8III
22	HD 76236	08 45 55.23	-79 30 16.5	5.79	-0.38	559	K5III
22	HD 114533	13 14 17.36	-78 26 50.8	5.84	-2.94	1863	F8Ib
22	HD 120213	13 55 38.99	-82 39 58.1	5.95	-1.19	872	K2/K3III:p
22	DR Cha	10 41 51.58	-79 46 59.9	5.97	-1.46	1000	B5IV
22	RS Cha	08 43 12.31	-79 04 12.5	6.05	1.1	319	A7V
22	HD 80194	09 12 12.27	-76 39 46.5	6.13	0.89	364	K1III
22	HD 92209	10 35 24.80	-76 18 32.4	6.29	0.29	517	K2III
22	DY Cha	13 39 12.04	-75 41 01.6	6.32	-0.95	929	B8IV
22	HD 106248	12 13 56.48	-78 34 26.0	6.34	1.17	353	K2/K3IIICN.
22	HD 115088	13 18 48.34	-79 58 33.5	6.34	0.67	444	B9.5/A0V
22	HD 98617	11 18 34.21	-79 40 07.0	6.35	2.3	210	A8IIIm...
22	HD 94717	10 52 28.67	-79 33 34.0	6.36	-2.2	1680	K2II/III
22	HD 101917	11 42 54.53	-79 18 22.9	6.38	2.65	182	K0III/IV
22	HD 99015	11 21 57.11	-77 36 30.1	6.43	2.07	243	A5III/IV
22	HD 113694	13 08 20.52	-78 26 45.5	6.43	0.73	449	A0V
22	HD 86320	09 51 00.80	-80 03 39.9	6.47	-0.2	703	B8IV
22	μ2 Cha	10 04 07.37	-81 33 56.2	6.6	0.41	564	G6/G8III
22	HD 104237	12 00 05.08	-78 11 34.6	6.7	9999	374	K4Ve
22	RZ Cha	10 42 24.10	-82 02 14.2	8.09	9999	606	F4V
22	HD 97048	11 08 03.32	-77 39 17.4	8.38	9999	517	A0pshe
22	HD 116852	13 30 23.52	-78 51 20.5	8.47	9999	9300	O9III
22	HD 97300	11 09 50.02	-76 37 40.7	9.2	9999	574	B9V
22	HD 63454	07 39 21.85	-78 16 44.3	9.37	6.6	117	K4V
22	R Cha	08 21 46.42	-76 21 18.5	10.55	9999	9999	M4.5e
22	Z Cha	08 07 27.75	-76 32 00.7	11.5	9999	9999	M5.5
22	T Cha	11 57 13.55	-79 21 31.54	11.56	9999	534	K0e
22	CT Cha	11 04 09	-76 27 19	12.36	9999	538	K7
22	ChaHα8	11 07 46.10	-77 40 08.9	20.1	522	9999	M5.75
23	α Cir	14 42 30.69	-64 58 28.5	3.18	2.11	53	F1Vp
23	β Cir	15 17 30.96	-58 48 03.2	4.07	1.71	97	A3Va
23	γ Cir	15 23 22.66	-59 19 14.5	4.48	-1.49	509	B5III + F8
23	ε Cir	15 17 38.89	-63 36 37.8	4.85	-0.44	373	K2.5III
23	δ Cir	15 16 56.90	-60 57 26.1	5.04	-6.42	6392	O8.5V
23	θ Cir	14 56 44.00	-62 46 51.6	5.08	-1.96	834	B4Vnp
23	η Cir	15 04 48.05	-64 01 52.9	5.16	0.59	267	G8III
23	HD 131342	14 55 34.71	-60 06 50.0	5.18	1.56	173	K1III
23	HD 129422	14 45 17.25	-62 52 31.6	5.36	2.05	150	A7Vn
23	HD 135591	15 18 49.15	-60 29 46.8	5.43	-13.06	163000	O7Iab:
23	HD 125835	14 25 06.34	-68 11 43.2	5.56	-4.6	3505	A3Ib
23	HD 136359	15 23 10.60	-60 39 25.6	5.65	2.55	136	F7V
23	HD 124471	14 16 38.73	-66 35 16.4	5.72	-3.52	2296	B1.5III
23	HD 120404	13 51 47.42	-69 24 04.5	5.73	-1.26	815	K5/M0III
23	HD 120913	13 54 49.14	-67 39 07.4	5.74	-2.21	1268	K2III
23	HD 135160	15 16 36.69	-60 54 14.4	5.74	-3.11	1918	B0.5V
23	HD 126862	14 31 16.39	-67 43 01.4	5.84	1.21	274	K1III
23	HD 126241	14 27 07.11	-65 49 17.8	5.87	-1.38	921	K3III
23	CO Cir	14 48 44.56	-66 35 36.7	5.91	-1.82	1144	B2.5V
23	AX Cir	14 52 35.27	-63 48 35.3	5.91	-1.55	1012	F8II + A/F
23	HD 121932	14 00 52.61	-66 16 07.9	5.96	1.53	251	F0V
23	HD 128020	14 37 46.80	-67 55 52.8	6.03	3.78	92	F7V
23	HD 123377	14 10 30.91	-70 18 19.6	6.07	9999	9999	K4II
23	HD 123492	14 11 01.93	-69 43 09.4	6.07	1.74	240	A6IV
23	ζ Cir	14 54 42.59	-65 59 27.8	6.09	-1.79	1226	B3Vn
23	HD 129462	14 44 55.57	-58 28 38.6	6.1	0.85	366	K0III
23	BU Cir	14 45 10.97	-55 36 05.8	6.1	-2.52	1725	B2III
23	HD 121557	13 58 31.28	-65 48 02.1	6.2	0.15	528	K0III
23	HD 128917	14 41 55.93	-58 36 56.6	6.21	2.98	144	F4V
23	HD 130227	14 49 07.17	-56 40 03.1	6.21	1.31	312	K3III
23	HD 133792	15 09 25.54	-63 38 34.4	6.25	0.09	555	A0p
23	HD 134468	15 13 01.03	-61 44 37.6	6.27	-5.56	7581	K4Ib
23	HD 134060	15 10 44.97	-61 25 20.3	6.29	4.38	79	G3IV
23	HD 125990	14 25 39.80	-66 10 22.4	6.36	0.82	418	A1V
23	HD 134657	15 13 59.19	-61 20 34.5	6.36	-0.67	830	B5V
23	HD 130942	14 54 54.05	-69 51 39.3	6.38	-0.89	926	B5V
23	HD 129092	14 43 28.15	-62 58 00.0	6.39	-1.47	1216	B3V:
23	HD 131491	14 56 38.35	-62 21 51.9	6.39	-1.07	1012	B5V
23	HD 133557	15 07 56.15	-61 07 43.2	6.49	1.01	406	F2III
23	HD 130021	14 49 37.06	-68 56 10.2	6.5	-0.58	851	B3III
23	BP Cir	14 46 41.98	-61 27 43.0	7.52	9999	9999	F2/F3II+B6.0
23	HD 129445	14 46 03.06	-68 45 45.9	8.81	4.66	221	G8V
23	WR 70	15 29 44.69	-58 34 51.3	9.71	9999	1840	WC9+B0I
23	WR 66	15 14 57.72	-59 50 30.3	11.34	9999	9999	O:...
23	BX Cir	14 01 36.47	-66 09 56.3	12.62	9999	9999	B+...
23	BW Cir	13 58 09.92	-64 44 04.9	16.9	9999	9999	9999
23	Circinus X-1	15 20 40.85	-57 10 00.1	21.4	9999	9999	9999
24	α Col	05 39 38.94	-34 04 26.6	2.65	-1.93	268	B7IV
24	β Col	05 50 57.55	-35 46 09.5	3.12	1.02	86	K1.5III
24	δ Col	06 22 06.85	-33 26 10.6	3.85	-0.46	237	G7II
24	ε Col	05 31 12.74	-35 28 13.6	3.86	-0.79	277	K1II/III
24	η Col	05 59 08.79	-42 48 54.4	3.96	-2.1	531	K0III
24	γ Col	05 57 32.21	-35 16 59.9	4.36	-2.73	853	B2.5IV
24	κ Col	06 16 33.14	-35 08 26.6	4.37	0.63	183	G8II
24	ο Col	05 17 29.02	-34 53 39.8	4.81	2.17	110	K0/K1III/IV
24	λ Col	05 53 06.88	-33 48 05.2	4.88	-0.22	341	B5V
24	ξ Col	05 55 29.89	-37 07 14.2	4.97	-0.05	328	K1IIICN...
24	θ Col	06 07 31.63	-37 15 10.5	5	-1.84	762	B8:IV
24	μ Col	05 45 59.89	-32 18 23.0	5.18	-2.81	1294	B1IV/V
24	HD 46568	06 32 21.33	-37 41 47.4	5.25	0.64	273	G8III
24	ν2 Col	05 37 44.64	-28 41 23.3	5.28	2.14	138	F5V
24	WZ Col	05 42 15.19	-34 40 04.6	5.29	0.06	363	B9/B9.5V
24	HD 46815	06 33 49.49	-36 13 56.2	5.42	-0.06	406	K3III
24	HD 37811	05 39 49.85	-32 37 44.9	5.44	0.1	382	G6/G8III
24	HD 36848	05 32 51.38	-38 30 48.0	5.45	1.83	172	K2/K3III
24	π2 Col	06 07 52.87	-42 09 14.4	5.5	0.98	261	A0V
24	σ Col	05 56 20.94	-31 22 56.8	5.52	-2.74	1462	F2III
24	HD 41047	06 01 16.29	-33 54 42.4	5.54	-0.62	555	K5III
24	AF Col	06 10 10.42	-40 21 14.3	5.54	-1.55	853	M2II/III
24	HD 43899	06 17 01.23	-37 44 15.5	5.54	0.7	302	K2III
24	HD 40091	05 54 52.49	-39 57 28.5	5.55	-0.42	509	M0III
24	HD 44506	06 20 36.24	-34 08 39.1	5.55	-3.4	2012	B3V
24	HD 36187	05 28 15.33	-37 13 51.4	5.56	0.79	294	A0V
24	HD 47144	06 35 24.22	-36 46 47.7	5.59	-0.66	580	A0V
24	HD 39720	05 52 33.16	-37 37 51.6	5.62	0.65	321	K1III
24	HD 45145	06 24 01.02	-36 42 28.4	5.62	0.74	308	K1II/III
24	HD 41534	06 04 20.28	-32 10 21.8	5.65	-1.96	1083	B2V
24	SW Col	05 23 24.00	-39 40 42.4	5.71	-0.45	561	M2III
24	HD 47500	06 37 13.84	-36 59 26.5	5.72	-2.81	1655	B6IV
24	HD 34266	05 14 28.84	-35 58 37.3	5.75	-0.11	484	G8III
24	HD 36874	05 33 07.32	-35 08 21.5	5.75	1.1	278	K0III
24	HD 37192	05 35 15.45	-33 04 48.0	5.76	0.82	317	K0III
24	HD 44323	06 19 40.95	-34 23 47.7	5.76	0.34	396	B9V
24	HD 41843	06 06 05.53	-29 45 30.7	5.79	1.23	266	A1V
24	HD 41759	06 05 27.17	-35 30 49.3	5.8	1.27	263	A0V
24	HD 37717	05 38 43.53	-40 42 26.5	5.81	-0.08	490	B8V
24	HD 42054	06 07 03.67	-34 18 43.3	5.82	-1.72	1052	B4Vnn
24	HD 46349	06 31 13.10	-35 15 31.9	5.82	-1.16	811	G8III+...
24	HD 36060	05 27 05.32	-40 56 37.6	5.86	0.97	310	A7m
24	HD 43940	06 17 09.57	-37 15 12.4	5.88	1.91	202	A2V
24	HD 34868	05 19 23.69	-27 22 07.9	5.98	0.3	446	A0V
24	HD 43847	06 16 35.60	-39 15 51.7	6	0.61	390	A2Vm...
24	HD 47463	06 37 01.89	-38 08 47.8	6.03	0.41	434	K0III
24	AN Col	05 21 16.86	-34 20 42.2	6.05	-2.77	1895	B5II/III
24	ν1 Col	05 37 16.49	-27 52 16.3	6.15	2.91	145	F0IV
24	π1 Col	06 06 41.07	-42 17 55.7	6.15	1.18	322	Am
24	HD 38138	05 42 11.58	-30 32 07.7	6.18	-0.02	566	A0V
24	HD 46365	06 30 59.90	-40 54 58.6	6.19	-0.07	581	K3III
24	HD 38804	05 47 04.58	-28 38 20.2	6.22	-0.12	604	B5III
24	HD 45383	06 25 30.01	-35 03 50.5	6.24	0.28	506	K3III
24	HD 38385	05 43 30.15	-39 24 24.9	6.25	2.61	174	F3V
24	HD 37286	05 36 10.28	-28 42 28.8	6.26	2.5	184	A2III/IV
24	SX Col	06 31 34.95	-36 56 24.7	6.28	-1.02	931	M2/M3III
24	HD 38885	05 47 18.69	-35 40 27.2	6.29	0.31	511	K1III
24	HD 45306	06 24 44.50	-40 17 02.3	6.3	0.28	522	B9V
24	HD 45983	06 28 42.40	-41 04 29.7	6.32	1.78	264	F2/F3V
24	HD 35046	05 20 20.71	-34 41 55.9	6.34	-0.31	698	F0/F2IV
24	HD 39891	05 54 14.04	-29 08 49.6	6.34	2.6	183	F3V
24	HD 38056	05 41 26.92	-33 24 02.6	6.35	0.74	432	B9.5V
24	HD 47230	06 35 54.07	-36 05 18.4	6.36	3.33	131	F6V
24	HD 47475	06 36 51.27	-41 33 25.8	6.36	-2.21	1689	K0II
24	HD 40359	05 56 49.00	-31 58 34.6	6.44	-0.44	776	G8III
24	HD 46727	06 33 10.24	-38 37 30.5	6.44	0.64	470	G8III
24	HD 39543	05 51 59.59	-29 26 57.8	6.47	-0.17	694	K3III
24	HD 45680	06 27 07.59	-37 53 44.2	6.48	2.99	162	F3V
24	HD 43848	06 16 31.36	-40 31 54.7	8.64	9999	123.4	K2IV
24	WASP-63	06 17 21.0	-38 19 24	11.2	9999	1076	G8
24	L 449-1	05 17 22.93	-35 21 54.5	11.7	9999	19	M4
24	TV Col	05 29 25.53	-32 49 03.9	12.2	9999	9999	K1
24	AP Col	06 04 52.16	-34 33 36.1	12.96	13.34	27.4	M5
24	TX Col	05 43 20.17	-41 08 54.3	14.1	9999	9999	9999
25	β Com	13 11 52.92	27 52 33.7	4.26	4.42	30	G0V
25	α Com A	13 09 59.55	17 31 44.8	4.32	3.54	47	F5V
25	γ Com	12 26 56.33	28 16 07.0	4.35	0.76	170	K2IIICN+...
25	11 Com	12 20 43.09	17 47 33.6	4.72	-0.5	361	G8III
25	36 Com	12 58 55.47	17 24 33.7	4.76	-0.05	299	M0III
25	12 Com A	12 22 30.32	25 50 46.3	4.78	0.16	273	F8:p...
25	23 Com	12 34 51.12	22 37 45.1	4.8	-0.44	365	A0IV
25	41 Com	13 07 10.71	27 37 29.7	4.8	-0.04	303	K5III
25	35 Com	12 53 17.77	21 14 42.1	4.89	-0.1	324	G8III
25	37 Com	13 00 16.49	30 47 06.1	4.9	-2.32	898	K1IIIp
25	14 Com	12 26 24.07	27 16 05.7	4.92	0.3	273	F0p
25	7 Com	12 16 20.56	23 56 43.5	4.93	0.52	248	K0III
25	31 Com	12 51 41.93	27 32 26.6	4.93	0.06	307	G0III
25	16 Com	12 26 59.30	26 49 32.6	4.98	0.29	282	A4V
25	HD 106760	12 16 30.17	33 03 42.5	4.99	0.13	306	K1III
25	24 Com A	12 35 07.76	18 22 37.2	5.03	-1.34	614	K2III
25	6 Com	12 16 00.23	14 53 56.9	5.09	1.18	198	A3V
25	27 Com	12 46 38.75	16 34 39.5	5.12	0.15	322	K3III
25	13 Com	12 24 18.54	26 05 55.0	5.17	0.47	284	A3V
25	α Com B	13 09 59.30	17 31 46.0	5.22	9999	9999	9999
25	17 Com	12 28 54.72	25 54 46.4	5.29	0.7	270	A0p
25	21 Com	12 31 00.57	24 34 01.9	5.44	0.57	311	A2pvar
25	18 Com	12 29 27.05	24 06 32.1	5.47	1.36	216	F5III
25	26 Com	12 39 07.36	21 03 45.3	5.49	0.77	286	G9III
25	HD 107325	12 20 19.72	26 37 11.1	5.52	2.11	157	K2III-IV
25	FS Com	13 06 22.58	22 36 58.6	5.53	-0.69	572	M5III
25	5 Com	12 12 09.30	20 32 31.6	5.6	-0.26	484	K0II-III
25	4 Com	12 11 51.20	25 52 13.3	5.66	-1.22	774	K4III
25	20 Com	12 29 43.22	20 53 46.3	5.68	1.22	254	A3V
25	25 Com	12 36 58.35	17 05 22.5	5.7	-0.31	518	K5III
25	HD 106887	12 17 30.60	28 56 13.6	5.71	2.07	174	A4m
25	29 Com	12 48 54.20	14 07 21.5	5.71	0.25	402	A1V
25	HD 116706	13 25 06.68	23 51 16.0	5.75	1.29	254	A3IV
25	30 Com	12 49 17.51	27 33 08.4	5.76	0.75	327	A2V
25	HD 109519	12 35 08.15	21 52 53.2	5.86	-0.65	652	K1III
25	2 Com	12 04 16.58	21 27 33.0	5.89	0.68	359	F0IV-V
25	HD 114326	13 09 47.89	16 50 55.1	5.91	-0.85	733	K5III
25	38 Com	13 01 09.62	17 07 23.5	5.97	0.52	400	K0III
25	39 Com	13 06 21.28	21 09 12.6	6	2.51	163	F4V
25	HD 105805	12 10 46.10	27 16 53.5	6.01	1.14	308	A4Vn
25	HD 108123	12 25 15.07	23 55 34.7	6.03	0.11	497	K0III
25	HD 114889	13 13 12.54	18 43 37.7	6.1	1.3	297	G8III
25	HD 117876	13 32 48.17	24 20 50.0	6.11	0.32	470	G8III
25	HD 107326	12 20 17.84	26 00 06.6	6.16	2.25	198	F0IV
25	HD 113022	13 00 38.86	18 22 22.3	6.2	3.14	133	F6Vs
25	HD 114092	13 07 53.66	27 33 22.0	6.2	0.82	389	K4III
25	HD 107655	12 22 10.86	24 46 26.0	6.21	1.2	327	A0V
25	HD 107054	12 18 31.57	30 14 57.6	6.23	2.51	181	A9.5III
25	8 Com	12 19 19.20	23 02 04.9	6.26	1.55	285	A8m
25	22 Com	12 33 34.23	24 16 58.8	6.28	1.15	346	A4V
25	HD 111893	12 52 27.52	16 07 21.1	6.29	1.05	364	A7V
25	LW Com	12 48 47.26	24 50 25.7	6.31	5.12	56	G7V
25	HD 114724	13 12 08.42	24 15 29.3	6.31	0.32	513	K1III
25	HD 107398	12 20 41.37	27 03 17.4	6.32	1.49	301	F3V + F3V
25	32 Com	12 52 12.26	17 04 26.2	6.32	-2.43	1831	M0III
25	HD 106926	12 17 44.24	15 08 41.3	6.36	0.3	532	K4III
25	9 Com	12 19 29.66	28 09 26.0	6.38	2.9	162	F8Vs
25	HD 109996	12 39 02.21	22 39 34.4	6.39	1.15	364	K1III
25	3 Com	12 10 31.64	16 48 33.4	6.4	-0.81	903	A4V
25	HD 108007	12 24 26.81	25 34 56.7	6.41	1.46	319	F0V
25	HD 112060	12 53 32.20	19 28 53.4	6.42	3.2	144	G5IV
25	HD 111591	12 50 17.23	22 51 48.8	6.43	0.8	435	K0III
25	HD 115365	13 16 32.33	19 47 06.8	6.43	1.76	280	F0V
25	FM Com	12 19 02.03	26 00 30.1	6.44	2.03	248	Am
25	HD 115319	13 16 14.35	19 03 06.2	6.46	1.59	307	G8III
25	HD 106022	12 12 00.97	28 32 11.3	6.47	1.94	263	F5V
25	HD 107415	12 20 48.75	15 32 27.5	6.47	0.64	479	K0
25	28 Com	12 48 14.36	13 33 11.2	6.47	0.99	407	A1V
25	HD 115404	13 16 50.67	17 01 04.1	6.49	6.24	37	K2V
25	1 Com	12 01 44.30	22 05 39.6	6.57	0.61	507	G0II
25	24 Com B	12 35 06.35	18 22 37.3	6.57	-2.96	2629	A7m
25	17 Com	12 28 44.58	25 53 57.7	6.63	2.14	258	A0p
25	10 Com	12 19 50.63	28 27 51.8	6.64	1.85	296	Am
25	HD 112127	12 53 55.75	26 46 48.0	6.88	9999	345	K3III
25	33 Com	12 52 22.83	17 6 30.5	6.93	1.5	397	F8
25	HD 114762	13 12 19.74	17 31 01.6	7.3	4.27	132	F9V
25	HD 107146	12 19 06.50	16 32 53.9	7.07	9999	93	G2V
25	KR Com	13 20 15.78	17 45 57.0	7.26	9999	273.7	F5
25	HD 115708	13 18 37.25	26 21 56.8	7.83	9999	377	A2p
25	HD 108863	12 30 20	21 56 54	7.89	9999	453	K0
25	HD 116029	13 20 40	24 38 55	8.04	9999	402	K1III
25	HD 106103	12 12 24.90	27 22 48.3	8.09	9999	277.2	F5V
25	IL Com	12 25 02.26	25 33 38.4	8.14	9999	310.2	F8
25	FK Com	13 30 46.80	24 13 57.75	8.17	1.2	800	G5II
25	12 Com B	12 22 32.30	25 51 06.0	8.6	9999	9999	9999
25	IN Com	12 55 33.75	25 53 30.6	8.7	9999	2690	G5III-IV
25	HD 108874	12 30 26.88	25 52 47.4	8.76	4.58	224	G5
25	BD +25 2511	12 29 40.92	24 31 14.7	9.76	9999	9999	G8:V...
25	UX Com	13 01 33.02	28 37 54.1	10.01	9999	592	G7III:
25	RZ Com	12 35 05.06	23 20 14.0	10.57	9999	614	G0Vn
25	Feige 66	12 37 23.52	25 03 59.9	10.59	9999	530	Op
25	SS Com	12 49 39.08	18 42 11.9	11	9999	9999	F5
25	RW Com	12 33 00.28	26 42 58.8	11.25	9999	278.4	G2+G2
25	CC Com	12 12 06.03	22 31 58.7	11.61	9999	261	K4/5V
25	U Com	12 40 03.20	27 29 56.1	11.76	9999	929	A9
25	ST Com	13 17 51.34	20 46 50.8	11.92	9999	9999	F5
25	EK Com	12 51 21.45	27 13 47.0	12.02	9999	9999	K0V
25	HZ 43	13 16 21.85	29 05 55.4	12.66	9999	125.6	DA.9 + M3Ve
25	GD 153	12 57 02.34	22 01 52.7	13.35	9999	9999	DA1.2
25	HZ 21	12 13 56.25	32 56 31.4	14.69	9999	9999	DA:
25	GP Com	13 05 42.43	18 01 04.0	15.69	9999	9999	DBe
25	LM Com	12 26 30.90	30 38 52.7	16.15	9999	9999	DA1.7
25	AL Com	12 32 25.80	14 20 42.2	16.2	9999	9999	9999
25	RBS 1223	13 08 48.7	21 27 08	28.6	9999	9999	9999
26	β CrA	19 10 01.75	-39 20 26.5	4.1	-1.86	508	K0II/IIICN.
26	α CrA	19 09 28.28	-37 54 15.3	4.11	1.11	130	A0/A1V
26	γ CrA A	19 06 25.04	-37 03 45.9	4.23	2.97	58	F7IV-V
26	δ CrA	19 08 20.93	-40 29 47.9	4.57	0.93	175	K1III
26	θ CrA	18 33 30.16	-42 18 44.9	4.62	-2.5	867	G5III
26	ζ CrA	19 03 06.83	-42 05 42.0	4.74	0.99	184	A0Vn
26	ε CrA	18 58 43.47	-37 06 25.5	4.83	2.45	98	F3IV/V
26	HD 165189	18 06 49.88	-43 25 29.9	4.92	1.71	143	A5V
26	γ CrA B	19 06 25.10	-37 03 48.0	4.99	9999	9999	9999
26	HD 168592	18 22 18.60	-38 39 24.6	5.09	-0.85	503	K4/K5III
26	λ CrA	18 43 46.94	-38 19 23.9	5.11	1.15	202	A0/A1V
26	HD 170642	18 32 21.31	-39 42 14.1	5.16	1.02	220	A3V
26	μ CrA	18 47 44.60	-40 24 22.0	5.2	-0.2	393	G5/G6III
26	HD 168905	18 24 18.24	-44 06 36.7	5.24	-0.79	524	B2.5Vn
26	HD 175219	18 56 16.97	-42 42 38.2	5.35	0.46	310	G6III-IV
26	HD 175362	18 56 40.49	-37 20 35.5	5.36	-0.22	425	B3V
26	HD 172991	18 44 57.15	-39 41 10.2	5.4	-2.64	1320	K1/K2III+..
26	V718 CrA	18 39 35.18	-43 11 08.8	5.42	-1.58	817	M2III
26	HD 167096	18 15 53.39	-44 12 23.4	5.45	0.87	268	G8/K0III
26	η1 CrA	18 48 50.47	-43 40 48.0	5.46	0.33	347	A2Vn
26	V692 CrA	18 13 12.70	-41 20 09.9	5.47	-3.06	1655	B2.5III
26	η2 CrA	18 49 35.00	-43 26 02.5	5.6	-0.75	607	B9IV
26	HD 169853	18 28 27.11	-38 59 44.1	5.63	-0.29	498	A2m...
26	κ2 CrA	18 33 23.13	-38 43 33.4	5.67	-2.94	1716	B9.5
26	HD 170521	18 31 56.22	-43 30 26.5	5.71	-2.2	1244	K2III
26	V701 CrA	19 03 17.69	-38 15 11.5	5.73	1.68	211	F2III/IV
26	HD 166114	18 11 05.54	-41 21 32.5	5.86	1.28	269	F0Vn
26	HD 178322	19 09 57.65	-41 53 32.0	5.86	-1.14	817	B5V
26	HD 179433	19 14 39.52	-45 11 36.4	5.91	1.12	296	G8III
26	HD 170384	18 31 02.95	-41 54 49.5	6.02	1.55	255	A3V
26	HD 177565	19 06 52.60	-37 48 35.2	6.15	4.98	56	G8V
26	HD 176425	19 02 08.50	-41 54 37.7	6.21	1.04	352	A0V
26	HD 170773	18 33 00.85	-39 53 30.6	6.22	3.43	118	F5V
26	HD 175395	18 57 14.31	-43 55 01.0	6.27	-0.43	712	B9V
26	HD 175529	18 57 34.39	-39 49 23.8	6.29	2.34	201	A5IV/V
26	HD 167756	18 18 40.15	-42 17 18.2	6.3	9999	9999	B0.5Ia
26	κ1 CrA	18 33 23.08	-38 43 12.0	6.31	0.43	489	B8
26	HD 178628	19 11 01.91	-39 00 16.9	6.34	-3.19	2629	B7II/III
26	HD 169943	18 29 12.87	-43 50 45.6	6.36	0.38	512	G8III
26	HD 176270	19 01 04.30	-37 03 41.4	6.44	2	252	B9.5IV:
26	HD 178254	19 09 39.76	-39 49 37.9	6.44	1.29	350	K0III
26	HD 168357	18 20 55.19	-37 29 15.5	6.46	-2.76	2280	K2II
26	HD 174407	18 52 11.95	-41 42 32.8	6.47	-0.13	682	K3III
26	HD 175093	18 55 23.55	-37 23 11.8	6.48	0.91	424	K1III
