cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
1	9999	23 57 03.63	42 39 29.7	6.01	-2.22	1442	F8III
1	9999	00 46 10.80	44 51 41.4	6.03	0.32	452	B9.5IIIMNp.
1	9999	02 14 02.53	47 29 03.8	6.05	2.96	135	F5V
1	HD 3883	00 41 35.98	24 37 44.6	6.06	0.3	462	A7m
1	V439 And	00 06 36.53	29 01 19.0	6.07	5.39	45	K0V
1	9999	00 53 28.22	37 25 05.9	6.07	0.77	374	K3III:
1	9999	23 30 39.54	38 39 44.0	6.07	-0.33	621	G9III
1	HD 223229	23 47 33.05	46 49 57.3	6.08	-1.96	1320	B3IV
1	9999	00 04 53.21	34 39 34.4	6.09	3.26	120	G2V
1	59 And A	02 10 52.83	39 02 22.5	6.09	1.56	263	B9V
1	26 And	00 18 42.15	43 47 28.1	6.1	-0.53	692	B8V
1	9999	00 57 39.64	45 50 21.8	6.1	0.45	439	K2III
1	HD 225218	00 04 36.60	42 05 33.2	6.11	-2.45	1680	B9III
1	9999	01 17 05.05	44 54 07.5	6.11	-0.18	590	K5
1	HD 1185	00 16 21.50	43 35 42.4	6.12	1.28	303	A2V
1	9999	23 07 10.05	52 48 59.6	6.12	0.55	423	K0III
1	GO And	00 50 18.21	45 00 08.1	6.13	1.34	296	A0p...
1	9999	01 12 34.06	45 20 14.9	6.13	-0.52	698	M1III
1	66 And	02 27 51.75	50 34 12.7	6.16	2.54	173	F4V
1	9999	02 20 41.50	47 18 39.0	6.17	-0.87	836	B5V
1	9999	00 11 59.03	48 09 08.5	6.18	0.05	550	K4III
1	9999	00 37 07.20	24 00 51.3	6.18	1.13	334	K2III
1	HD 221776	23 34 46.73	38 01 26.3	6.18	-0.41	678	K5
1	9999	02 38 17.86	37 43 36.6	6.19	1.6	270	F6III
1	HD 221246	23 30 07.39	49 07 59.3	6.19	-0.91	856	K5III
1	OP And	01 36 27.21	48 43 22.2	6.2	0.65	420	K1III:
1	9999	00 08 41.02	36 37 38.7	6.21	3.61	108	F8IV
1	9999	02 19 10.84	46 28 20.2	6.21	0.5	452	A4V
1	9999	00 14 02.29	33 12 21.9	6.22	1.45	293	A1V
1	HD 895	00 13 23.93	26 59 15.4	6.24	0.78	403	G0III
1	9999	23 40 40.47	36 43 14.6	6.24	3.01	144	F1V
1	9999	00 01 43.85	42 22 01.7	6.25	-1.8	1331	B9IIIp Mn
1	9999	01 54 53.75	40 42 07.9	6.25	1.13	345	K2
1	HD 220105	23 20 44.11	44 06 58.5	6.25	1.73	261	A5Vn
1	9999	23 33 42.99	45 03 29.1	6.25	0.12	548	G8II
1	HD 2942	00 32 49.09	28 16 48.8	6.26	0.47	469	G8II
1	9999	01 27 06.21	34 22 39.3	6.27	3.12	139	F7IVsvar
1	9999	00 28 56.67	36 53 58.9	6.28	0.51	464	G5III
1	9999	01 23 37.31	34 14 44.2	6.28	2.43	192	G8IV
1	9999	01 54 57.63	37 07 42.0	6.28	0.25	525	K0
1	9999	01 18 10.14	47 25 11.0	6.29	-2.07	1531	K0
1	9999	02 38 27.94	38 05 21.0	6.29	-0.47	734	B9.5V
1	9999	23 19 41.37	48 22 51.1	6.29	0.47	475	K1III
1	9999	22 59 10.37	52 39 16.0	6.31	-0.26	672	K2
1	9999	01 44 26.53	46 08 23.2	6.32	0.23	540	K5III
1	9999	23 14 14.34	50 37 04.5	6.32	0.82	411	A0V
1	9999	01 43 16.39	45 19 21.5	6.33	2.61	181	K2IV
1	9999	01 47 48.00	46 13 47.6	6.33	2.5	190	F6V
1	9999	00 15 06.93	31 32 08.7	6.34	-1.7	1320	K5
1	HD 8673	01 26 08.62	34 34 47.7	6.34	3.43	125	F7V
1	9999	00 15 10.55	27 17 00.5	6.35	0.84	412	A1Vn
1	9999	00 19 41.58	40 43 46.2	6.35	0.25	541	K1III
1	9999	23 36 30.52	32 54 15.1	6.35	1.92	251	F6V
1	CG And	00 00 43.62	45 15 12.0	6.36	-0.23	678	B9p SiEu
1	9999	02 35 27.89	39 39 52.1	6.36	0.11	580	B9MNp...
1	9999	02 15 57.69	47 48 43.4	6.37	0.61	462	G9III-IV
1	LN And	23 02 45.15	44 03 31.6	6.37	-1.42	1177	B2V
1	V385 And	23 24 08.88	41 36 46.3	6.37	-1.55	1249	M0
